scan,score,threshold,is_defective
1,8303.23,5000.00,YES
2,10143.46,5000.00,YES
3,9899.88,5000.00,YES
4,13634.23,5000.00,YES
5,17837.80,5000.00,YES

DECISION,NOK,defective_scans=5/5,strategy=MAJORITY
