scan,score,threshold,is_defective
1,44108.07,5000.00,YES
2,31570.89,5000.00,YES
3,31570.89,5000.00,YES
4,28370.68,5000.00,YES
5,28370.68,5000.00,YES

DECISION,NOK,defective_scans=5/5,strategy=MAJORITY
