scan,score,threshold,is_defective
1,54800.15,5000.00,YES
2,44776.38,5000.00,YES
3,44776.38,5000.00,YES
4,31294.60,5000.00,YES
5,31294.60,5000.00,YES

DECISION,NOK,defective_scans=5/5,strategy=MAJORITY
