scan,score,threshold,is_defective
1,59712.59,5000.00,YES
2,44833.62,5000.00,YES
3,44833.62,5000.00,YES
4,25342.10,5000.00,YES
5,25342.10,5000.00,YES

DECISION,NOK,defective_scans=5/5,strategy=MAJORITY
