scan,score,threshold,is_defective
1,52904.46,5000.00,YES
2,47775.95,5000.00,YES
3,47775.95,5000.00,YES
4,47386.27,5000.00,YES
5,47386.27,5000.00,YES

DECISION,NOK,defective_scans=5/5,strategy=MAJORITY
