scan,score,threshold,is_defective
1,42590.91,5000.00,YES
2,37718.56,5000.00,YES
3,37718.56,5000.00,YES
4,33982.55,5000.00,YES
5,33982.55,5000.00,YES

DECISION,NOK,defective_scans=5/5,strategy=MAJORITY
