scan,score,threshold,is_defective
1,39427.94,5000.00,YES
2,42838.94,5000.00,YES
3,44149.91,5000.00,YES
4,39157.62,5000.00,YES
5,44314.13,5000.00,YES

DECISION,NOK,defective_scans=5/5,strategy=MAJORITY
